,0
284,202.64999999999995
285,200.55
286,198.3
287,196.14999999999998
288,197.44999999999996
289,169.14999999999998
290,180.14999999999998
291,170.09999999999994
292,178.80000000000004
293,177.39999999999998
294,174.29999999999998
295,174.34999999999997
296,162.7
297,156.5
298,162.2
299,155.89999999999998
300,150.45000000000002
301,154.59999999999994
302,157.34999999999994
303,157.7
304,146.3
305,161.89999999999998
306,158.59999999999994
307,159.99999999999997
308,168.14999999999998
309,171.5
310,169.55
311,179.45
312,170.09999999999994
313,164.55
314,175.29999999999998
315,179.69999999999996
316,175.59999999999997
317,177.14999999999995
318,178.75
319,173.34999999999997
320,178.55
321,184.45
322,184.09999999999994
323,189.29999999999998
324,194.64999999999998
325,199.49999999999997
326,193.3
327,189.19999999999996
328,200.45
329,204.59999999999994
330,204.99999999999997
331,205.55
332,203.0
333,204.89999999999995
334,202.14999999999995
335,201.35
336,195.29999999999998
337,190.09999999999994
338,181.7
339,175.89999999999998
340,171.94999999999996
341,166.44999999999996
342,163.45
343,172.09999999999997
344,171.09999999999997
345,170.05
346,166.59999999999997
347,184.34999999999997
348,179.79999999999998
349,170.75000000000003
350,165.8
351,168.0
352,172.24999999999997
353,172.7
354,174.49999999999997
355,181.09999999999997
356,175.05
357,166.64999999999995
358,165.14999999999998
359,162.74999999999997
360,154.64999999999998
361,157.84999999999997
362,159.09999999999994
363,158.00000000000003
364,153.34999999999997
365,155.09999999999997
366,153.29999999999998
367,153.99999999999997
368,165.34999999999997
369,154.99999999999997
370,154.95
371,152.14999999999995
372,154.09999999999994
373,157.95
374,159.14999999999998
375,162.64999999999995
376,165.7
377,161.54999999999998
378,162.59999999999997
379,152.24999999999997
380,158.89999999999995
381,156.24999999999997
382,161.8
383,162.24999999999997
384,175.95000000000002
385,184.79999999999998
386,190.95
387,191.5
388,186.84999999999994
389,183.0
390,191.94999999999996
391,191.2
392,191.35
393,191.74999999999997
394,189.55
395,164.49999999999997
396,166.8
397,170.19999999999996
398,171.5
399,169.34999999999997
400,165.34999999999997
401,162.5
402,166.3
403,170.45
404,170.14999999999998
405,176.7
406,168.95
407,170.85
408,179.14999999999998
409,178.09999999999997
410,175.95000000000002
411,175.34999999999997
412,176.64999999999995
413,165.95000000000002
414,171.39999999999998
415,177.0
416,169.64999999999998
417,164.14999999999998
418,156.84999999999994
419,168.25
420,172.3
421,173.0
422,171.74999999999997
423,164.59999999999994
424,153.95
425,138.05
426,130.14999999999995
427,130.74999999999997
428,127.44999999999997
429,121.09999999999998
430,122.55000000000001
431,121.94999999999997
432,109.25000000000001
433,93.99999999999999
434,96.55
435,110.94999999999997
436,119.3
437,105.69999999999999
438,115.34999999999994
439,113.44999999999999
440,125.54999999999998
441,106.09999999999998
442,107.55000000000001
443,107.59999999999994
444,111.2
445,106.34999999999995
446,97.79999999999998
447,96.30000000000003
448,118.59999999999995
449,114.8
450,111.05
451,110.5
452,125.80000000000001
453,121.74999999999999
454,117.79999999999998
455,118.39999999999995
456,129.8
457,120.84999999999994
458,126.30000000000001
459,124.19999999999997
460,138.39999999999995
461,139.64999999999998
462,142.75
463,147.45
464,153.45
465,160.35
466,161.24999999999997
467,161.24999999999997
468,157.59999999999997
469,162.0
470,157.84999999999997
471,167.84999999999997
472,166.0
473,166.94999999999996
474,156.14999999999995
475,165.65
476,151.34999999999994
477,147.95
478,166.64999999999995
479,163.25
480,160.8
481,163.59999999999994
482,165.09999999999994
483,168.05
484,167.34999999999994
485,153.29999999999998
486,153.29999999999998
487,168.75
488,176.2
489,179.59999999999994
490,179.89999999999995
491,181.2
492,173.50000000000003
493,170.29999999999998
494,174.34999999999997
495,173.84999999999997
496,170.95000000000002
497,169.49999999999997
498,172.44999999999996
499,169.34999999999997
500,166.64999999999995
501,177.34999999999994
502,181.5
503,186.7
504,191.5
505,188.39999999999998
506,182.8
507,177.39999999999998
508,173.14999999999998
509,166.05000000000004
510,118.29999999999998
511,141.44999999999996
512,130.34999999999994
513,130.84999999999994
514,130.64999999999995
515,127.84999999999997
516,132.0
517,122.55000000000001
518,124.55000000000003
519,123.69999999999997
520,121.0
521,118.99999999999999
522,133.84999999999997
523,141.3
524,142.34999999999997
525,139.49999999999997
526,131.74999999999997
527,146.94999999999996
528,147.95
529,146.5
530,116.74999999999999
531,115.69999999999999
532,117.44999999999999
533,118.05000000000001
534,125.39999999999998
535,131.44999999999996
536,129.25
537,133.09999999999994
538,134.34999999999997
539,143.49999999999997
540,153.25
541,159.34999999999997
542,158.20000000000002
543,159.29999999999998
544,161.2
545,157.95
546,152.8
547,152.95
548,153.55
549,160.8
550,158.49999999999997
551,173.50000000000003
552,170.34999999999997
553,175.25
554,171.89999999999998
555,174.19999999999996
556,172.39999999999998
557,179.34999999999997
558,172.09999999999997
559,172.89999999999998
560,175.64999999999998
561,171.64999999999995
562,177.84999999999994
563,179.25
564,187.84999999999994
565,182.74999999999997
566,183.24999999999997
567,183.09999999999997
568,183.95
569,181.44999999999996
570,183.95
571,184.99999999999997
572,187.5
573,179.45
574,172.0
575,164.09999999999994
576,162.0
577,156.09999999999997
578,164.75
579,156.94999999999996
580,162.74999999999997
581,152.34999999999994
582,163.69999999999996
583,159.29999999999998
584,192.3
585,179.79999999999998
586,178.14999999999998
587,199.75
588,202.44999999999996
589,204.59999999999994
590,204.84999999999997
591,198.74999999999997
592,201.5
593,208.59999999999997
594,216.95000000000002
595,217.74999999999997
596,218.5
597,217.39999999999998
598,217.94999999999996
599,218.5
600,217.14999999999995
601,217.14999999999995
602,218.59999999999997
603,215.05
604,213.59999999999997
605,199.89999999999995
606,193.39999999999998
607,194.19999999999996
608,198.2
609,197.84999999999994
610,207.14999999999995
611,198.7
612,202.39999999999998
613,205.45
614,206.25
615,207.09999999999997
616,207.09999999999997
617,194.64999999999998
618,189.99999999999997
619,197.2
620,197.2
621,205.09999999999994
622,207.5
623,201.29999999999998
624,209.95
625,209.25
626,204.59999999999994
627,197.7
628,199.39999999999995
629,191.94999999999996
630,173.0
631,172.54999999999998
632,173.84999999999997
633,166.05000000000004
634,165.65
635,169.75
636,163.30000000000004
637,167.64999999999995
638,160.05
639,169.14999999999998
640,164.45
641,166.14999999999995
642,168.79999999999998
643,152.75
644,151.04999999999998
645,149.55
646,149.59999999999994
647,147.14999999999995
